Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
CAMP,4.15,N/A,N/A,N/A,4.1536,N/A,N/A,N/A,4.168,N/A,N/A,N/A,4.21,N/A,N/A,N/A,4.7388,N/A,N/A,N/A
CPAC,7.35,4.6023,SCĂDERE,DA,7.44,4.6023,61.66,0.0,7.6091,4.5084,68.78,0.0,7.8692,3.7883,107.73,0.0,10.3477,5.1791,99.8,0.0
Z,31.44,31.44,SCĂDERE,DA,31.2571,30.13,3.74,100.0,31.2468,39.19,20.27,48.66,31.7611,42.46,25.2,24.01,37.1455,133.41,72.16,0.0
FTNT,100.47,20.094,CREȘTERE,NU,100.2922,20.184,396.89,0.0,100.2553,21.836,359.13,0.0,98.8222,20.868,373.56,0.0,91.3235,37.278,144.98,0.0
SWX,65.41,52.7443,CREȘTERE,NU,65.4701,54.8973,19.26,53.7,65.4923,60.937,7.48,100.0,66.314,59.7033,11.07,94.64,76.3814,56.9036,34.23,0.0
GS,145.29,126.09,CREȘTERE,NU,144.8448,130.1168,11.32,93.4,144.7261,153.5748,5.76,100.0,146.6484,153.6963,4.59,100.0,167.0548,290.5581,42.51,0.0
CCB,10.0,10.0,SCĂDERE,DA,10.0007,10.0,0.01,100.0,10.1347,12.34,17.87,60.64,10.2334,12.08,15.29,73.57,10.945,26.66,58.95,0.0
EMD,10.38,5.5606,CREȘTERE,NU,10.4075,5.5981,85.91,0.0,10.4222,5.7856,80.14,0.0,10.6181,5.8718,80.83,0.0,12.6722,7.9155,60.09,0.0
PLXS,50.26,50.26,CREȘTERE,NU,49.9683,51.57,3.11,100.0,50.6457,58.66,13.66,81.69,51.4875,60.46,14.84,75.8,59.1005,93.47,36.77,0.0
TRST,5.27,20.3202,CREȘTERE,NU,5.2743,20.513,74.29,0.0,5.288,21.0914,74.93,0.0,5.3599,23.829,77.51,0.0,5.9245,30.0109,80.26,0.0
QCOM,65.9,57.7821,CREȘTERE,NU,65.8776,59.641,10.46,97.72,66.1625,64.2969,2.9,100.0,67.1322,66.3223,1.22,100.0,77.489,123.5177,37.26,0.0
OKTA,119.57,119.57,SCĂDERE,DA,118.7271,115.99,2.36,100.0,118.4184,128.09,7.55,100.0,117.9976,148.84,20.72,46.39,114.3656,229.7,50.21,0.0
AIT,43.27,40.34,CREȘTERE,NU,43.2172,40.9273,5.6,100.0,43.5473,44.7217,2.63,100.0,44.3652,47.9567,7.49,100.0,53.2643,88.63,39.9,0.0
DY,23.95,23.95,CREȘTERE,NU,24.036,24.33,1.21,100.0,24.0602,29.01,17.06,64.69,24.4412,30.83,20.72,46.39,27.7281,92.75,70.1,0.0
WALA,21.11,19.2537,CREȘTERE,NU,21.1611,20.2479,4.51,100.0,21.2313,21.6069,1.74,100.0,21.3029,23.0753,7.68,100.0,22.5426,24.8018,9.11,100.0
WLK,35.65,32.3096,SCĂDERE,DA,35.6255,31.9017,11.67,91.64,35.6568,37.9468,6.03,100.0,36.3785,36.5964,0.6,100.0,42.7942,84.4467,49.32,0.0
BX,40.8,32.8361,CREȘTERE,NU,40.4681,33.15,22.08,39.62,40.8014,37.8017,7.94,100.0,41.4959,40.8835,1.5,100.0,46.2566,62.8159,26.36,18.19
SLRC,11.03,6.024,CREȘTERE,NU,11.0395,6.2097,77.78,0.0,11.0256,7.3894,49.21,0.0,11.2217,7.9956,40.35,0.0,12.9934,10.8599,19.65,51.77
HUBS,125.1,125.1,SCĂDERE,DA,126.8076,116.86,8.51,100.0,127.4801,139.52,8.63,100.0,128.6147,160.56,19.9,50.52,139.534,485.85,71.28,0.0
PYPL,91.38,90.894,CREȘTERE,NU,91.573,93.0227,1.56,100.0,92.2209,104.5013,11.75,91.24,94.9077,119.9686,20.89,45.55,116.6353,246.2236,52.63,0.0
CLSK,1.16,1.16,SCĂDERE,DA,1.1655,1.05,11.0,95.0,1.1661,1.11,5.05,100.0,1.1939,1.37,12.85,85.73,1.4422,22.98,93.72,0.0
IRTC,75.01,75.01,SCĂDERE,DA,74.864,74.89,0.03,100.0,75.0991,80.0,6.13,100.0,74.3287,103.29,28.04,9.81,57.5755,137.21,58.04,0.0
MELI,447.34,447.34,CREȘTERE,NU,448.068,462.87,3.2,100.0,451.2047,544.0,17.06,64.71,455.5656,605.52,24.76,26.18,503.8877,1510.5,66.64,0.0
NATR,7.25,6.8662,CREȘTERE,NU,7.2634,7.2166,0.65,100.0,7.4303,7.4913,0.81,100.0,7.4835,7.8511,4.68,100.0,8.2915,19.5,57.48,0.0
DEUR,38.034,38.0337,CREȘTERE,NU,37.7587,39.387,4.13,100.0,37.5861,39.3249,4.42,100.0,36.7875,37.4456,1.76,100.0,27.6788,N/A,N/A,N/A
TEVA,8.47,8.47,SCĂDERE,DA,8.3978,8.12,3.42,100.0,8.3372,9.84,15.27,73.64,8.291,10.14,18.23,58.83,7.2973,11.48,36.43,0.0
ARDX,5.38,5.38,CREȘTERE,NU,5.3717,5.76,6.74,100.0,5.3947,5.71,5.52,100.0,5.3528,6.44,16.88,65.59,4.8856,6.86,28.78,6.09
GWRS,9.68,8.3302,CREȘTERE,NU,9.6543,8.7002,10.97,95.17,9.8844,8.7949,12.39,88.06,10.237,9.1935,11.35,93.25,13.4521,14.5487,7.54,100.0
UXIN,1.44,144.0,CREȘTERE,NU,1.4388,146.0,99.01,0.0,1.449,158.0,99.08,0.0,1.461,144.0,98.99,0.0,1.6384,197.0,99.17,0.0
AVD,13.55,13.2108,CREȘTERE,NU,13.4164,13.4155,0.01,100.0,13.543,14.2247,4.79,100.0,13.5833,13.201,2.9,100.0,14.2718,20.444,30.19,0.0
AKR,11.0,8.8976,SCĂDERE,DA,11.0173,8.4446,30.47,0.0,11.0401,10.4506,5.64,100.0,11.1616,9.577,16.55,67.27,12.3371,16.0373,23.07,34.64
HEI,68.83,68.3616,CREȘTERE,NU,69.2937,70.209,1.3,100.0,69.4509,84.1137,17.43,62.84,70.6067,82.5842,14.5,77.48,81.3241,127.288,36.11,0.0
DAIO,2.78,2.78,CREȘTERE,NU,2.8019,2.9,3.38,100.0,2.8171,2.97,5.15,100.0,2.8393,3.06,7.21,100.0,3.0546,5.57,45.16,0.0
ROL,35.16,21.7261,CREȘTERE,NU,35.0196,22.0474,58.84,0.0,34.7711,22.1896,56.7,0.0,34.5087,24.7169,39.62,0.0,31.0221,32.5717,4.76,100.0
EFR,9.49,5.5621,CREȘTERE,NU,9.4893,5.6969,66.57,0.0,9.4947,6.1716,53.85,0.0,9.6864,6.0693,59.6,0.0,11.0799,8.6664,27.85,10.75
CHRS,15.16,15.16,SCĂDERE,DA,15.1821,14.96,1.48,100.0,15.2922,16.45,7.04,100.0,15.43,16.03,3.74,100.0,16.3587,14.55,12.43,87.85
HUM,298.75,282.5794,CREȘTERE,NU,298.2012,283.8658,5.05,100.0,298.1372,319.005,6.54,100.0,296.5606,352.0917,15.77,71.14,322.1581,392.9876,18.02,59.88
NAK,0.39,0.39,CREȘTERE,NU,0.3889,0.4,2.78,100.0,0.3903,0.47,16.96,65.21,0.3953,0.57,30.65,0.0,0.4617,0.65,28.97,5.15
WF,17.31,12.9325,CREȘTERE,NU,17.3671,13.5676,28.0,9.98,17.3755,14.3446,21.13,44.35,18.0053,15.1141,19.13,54.35,23.6088,20.2468,16.61,66.97
STIM,1.62,1.62,SCĂDERE,DA,1.6243,1.54,5.47,100.0,1.6277,1.77,8.04,100.0,1.6558,2.29,27.69,11.53,1.9854,12.51,84.13,0.0
SALM,0.76,0.76,CREȘTERE,NU,0.7612,0.79,3.65,100.0,0.7652,0.8,4.35,100.0,0.775,0.84,7.74,100.0,0.8734,3.05,71.36,0.0
FFA,11.89,7.7687,SCĂDERE,DA,11.9599,7.6772,55.79,0.0,12.0144,8.5004,41.34,0.0,12.1359,8.6834,39.76,0.0,13.9425,13.1437,6.08,100.0
COLL,15.49,15.49,CREȘTERE,NU,15.6059,15.65,0.28,100.0,15.8551,18.3,13.36,83.2,15.9009,18.41,13.63,81.85,16.1971,23.38,30.72,0.0
IGI,17.79,13.3761,CREȘTERE,NU,17.7182,13.5189,31.06,0.0,17.7319,14.6092,21.38,43.12,18.0528,14.6378,23.33,33.35,21.9354,16.6358,31.86,0.0
IONS,46.85,46.85,CREȘTERE,NU,47.0123,49.01,4.08,100.0,46.8983,52.5,10.67,96.65,47.4152,55.32,14.29,78.55,54.7692,45.05,21.57,42.13
FLR,5.97,5.97,CREȘTERE,NU,6.0527,6.2,2.38,100.0,6.1178,7.28,15.96,70.18,6.239,10.2,38.83,0.0,7.7692,22.99,66.21,0.0
ALKS,13.9,13.9,CREȘTERE,NU,14.0356,14.02,0.11,100.0,14.2429,15.83,10.03,99.87,14.4757,13.31,8.76,100.0,17.8854,19.15,6.6,100.0
UNF,141.63,136.2095,SCĂDERE,DA,141.3846,134.0649,5.46,100.0,141.6663,155.8576,9.11,100.0,144.8835,159.5891,9.21,100.0,182.7846,217.4511,15.94,70.29
CLRB,1.24,372.0,SCĂDERE,DA,1.2317,372.0,99.67,0.0,1.2454,414.0,99.7,0.0,1.2608,495.0,99.75,0.0,1.2617,510.0,99.75,0.0
GTEC,2.91,2.91,SCĂDERE,DA,2.9168,2.64,10.48,97.58,2.9278,2.17,34.92,0.0,2.9911,2.15,39.12,0.0,3.9055,11.58,66.27,0.0
ARTL,0.935,252.45,SCĂDERE,DA,0.9276,232.2,99.6,0.0,0.9452,261.9,99.64,0.0,0.9734,319.14,99.69,0.0,1.0767,453.6,99.76,0.0
KW,12.64,9.0167,CREȘTERE,NU,12.6724,9.0666,39.77,0.0,12.6605,10.2722,23.25,33.75,12.8799,9.7514,32.08,0.0,14.6927,15.4253,4.75,100.0
ETY,8.85,5.3201,CREȘTERE,NU,8.8746,5.3622,65.5,0.0,8.8729,6.0054,47.75,0.0,8.9961,6.1535,46.2,0.0,10.3672,8.4147,23.2,33.99
HLX,1.25,1.25,SCĂDERE,DA,1.2487,1.18,5.82,100.0,1.2548,1.26,0.41,100.0,1.2819,2.18,41.2,0.0,1.5579,5.28,70.49,0.0
RUN,9.32,9.32,CREȘTERE,NU,9.355,9.8,4.54,100.0,9.4183,11.47,17.89,60.56,9.6584,12.96,25.48,22.62,10.784,59.13,81.76,0.0
GL,66.02,62.5455,CREȘTERE,NU,66.7775,63.6172,4.97,100.0,66.8099,71.4553,6.5,100.0,67.5147,75.9967,11.16,94.19,82.4471,94.6019,12.85,85.76
GEO,11.67,10.2074,SCĂDERE,DA,11.654,9.9887,16.67,66.64,11.6822,10.9071,7.11,100.0,11.9277,10.638,12.12,89.38,13.5643,7.69,76.39,0.0
DYAI,4.93,4.93,CREȘTERE,NU,4.9037,5.06,3.09,100.0,4.9254,5.99,17.77,61.14,4.9333,5.55,11.11,94.44,5.1504,5.67,9.16,100.0
GLQ,8.5,4.0901,CREȘTERE,NU,8.5275,4.143,105.83,0.0,8.546,4.4318,92.84,0.0,8.6795,4.6044,88.5,0.0,10.4397,8.2812,26.06,19.68
OSUR,11.58,11.58,SCĂDERE,DA,11.4505,10.48,9.26,100.0,11.3379,10.72,5.76,100.0,11.1976,15.04,25.55,22.26,9.9202,11.68,15.07,74.67
CRNC,18.58,18.58,SCĂDERE,DA,18.4706,18.05,2.33,100.0,18.4532,18.78,1.74,100.0,18.4056,20.67,10.96,95.22,17.6422,93.34,81.1,0.0
MDRR,1.71,22.9118,SCĂDERE,DA,1.7105,18.0883,90.54,0.0,1.7174,21.4112,91.98,0.0,1.7464,22.9118,92.38,0.0,2.0412,28.2713,92.78,0.0
QLYS,82.8,82.8,CREȘTERE,NU,81.9224,85.54,4.23,100.0,81.3272,95.5,14.84,75.8,80.0123,99.86,19.88,50.62,64.4006,103.88,38.0,0.0
CNNE,31.3,29.4066,SCĂDERE,DA,31.1925,27.7061,12.58,87.08,31.1609,29.632,5.16,100.0,30.9417,28.7489,7.63,100.0,28.8522,37.3266,22.7,36.48
TLSA,1.8,0.7203,CREȘTERE,NU,1.9542,0.7923,146.64,0.0,2.0433,0.8683,135.31,0.0,2.0612,1.1285,82.66,0.0,2.3184,2.75,15.69,71.53
MXF,8.11,6.0896,CREȘTERE,NU,8.1517,6.2248,30.96,0.0,8.1861,6.5327,25.31,23.45,8.3121,6.5671,26.57,17.14,9.4374,11.0091,14.28,78.62
MPA,12.91,9.4667,SCĂDERE,DA,12.9368,9.386,37.83,0.0,12.9717,9.584,35.35,0.0,12.977,9.485,36.82,0.0,13.5374,11.39,18.85,55.73
JOB,0.28,0.28,CREȘTERE,NU,0.2793,0.29,3.69,100.0,0.2791,0.3,6.97,100.0,0.2797,0.3,6.77,100.0,0.3019,1.38,78.12,0.0
JBLU,8.11,8.11,SCĂDERE,DA,8.1384,7.63,6.66,100.0,8.1625,9.03,9.61,100.0,8.3552,9.02,7.37,100.0,10.2907,20.37,49.48,0.0
PDI,20.04,8.9311,CREȘTERE,NU,20.1255,9.3634,114.94,0.0,20.1434,10.7495,87.39,0.0,20.4121,10.4126,96.03,0.0,24.0876,13.9777,72.33,0.0
WHR,80.6,60.4765,CREȘTERE,NU,80.6373,61.2494,31.65,0.0,80.956,74.7928,8.24,100.0,82.7667,84.1795,1.68,100.0,101.2681,174.4178,41.94,0.0
FF,12.04,4.2838,CREȘTERE,NU,11.8284,4.3728,170.5,0.0,11.8387,4.5365,160.97,0.0,11.8113,4.8642,142.82,0.0,10.8396,6.8944,57.22,0.0
CCI,137.59,105.3471,CREȘTERE,NU,137.0874,112.0696,22.32,38.38,137.7504,120.4842,14.33,78.35,136.7861,119.7568,14.22,78.9,128.1381,137.8598,7.05,100.0
SPWR,4.74,N/A,N/A,N/A,4.7443,N/A,N/A,N/A,4.7492,N/A,N/A,N/A,4.8599,N/A,N/A,N/A,5.8294,N/A,N/A,N/A
BMRA,7.0,56.0,CREȘTERE,NU,6.6907,56.56,88.17,0.0,6.5743,57.04,88.47,0.0,6.3977,58.56,89.07,0.0,4.6992,47.2,90.04,0.0
SAF,20.0,18.1843,CREȘTERE,NU,20.0432,18.7025,7.17,100.0,20.1195,19.0935,5.37,100.0,20.3041,20.6846,1.84,100.0,22.59,24.9035,9.29,100.0
MVCD,20.7,20.0473,CREȘTERE,NU,20.6754,22.1266,6.56,100.0,20.82,21.5484,3.38,100.0,20.762,20.9383,0.84,100.0,22.7054,N/A,N/A,N/A
PEN,153.61,153.61,CREȘTERE,NU,153.2898,161.83,5.28,100.0,154.1985,160.92,4.18,100.0,154.6645,170.62,9.35,100.0,152.6086,274.31,44.37,0.0
GASS,2.0,2.0,SCĂDERE,DA,2.0036,1.97,1.71,100.0,2.0046,1.97,1.76,100.0,2.0422,2.39,14.55,77.24,2.3521,2.92,19.45,52.76
CMBM,4.97,4.97,CREȘTERE,NU,4.9609,5.24,5.33,100.0,4.9867,6.15,18.92,55.42,5.0075,5.27,4.98,100.0,5.4054,48.48,88.85,0.0
WIW,9.61,5.7412,CREȘTERE,NU,9.637,5.795,66.3,0.0,9.6453,5.9802,61.29,0.0,9.7635,6.1632,58.42,0.0,11.0168,7.55,45.92,0.0
CLF,3.8,3.74,SCĂDERE,DA,3.7959,3.74,1.49,100.0,3.8255,4.34,11.85,90.73,3.8868,4.18,7.01,100.0,4.3987,19.42,77.35,0.0
MTDR,2.16,1.9949,CREȘTERE,NU,2.1876,2.4567,10.96,95.22,2.2082,2.9462,25.05,24.75,2.2471,5.9941,62.51,0.0,2.5743,23.743,89.16,0.0
VERU,3.1,31.0,SCĂDERE,DA,3.0969,30.8,89.95,0.0,3.089,32.5,90.5,0.0,3.0383,32.3,90.59,0.0,2.4284,112.0,97.83,0.0
OMCL,62.19,62.19,CREȘTERE,NU,62.0606,67.31,7.8,100.0,62.709,70.98,11.65,91.74,64.5601,71.87,10.17,99.14,82.4099,134.72,38.83,0.0
FONR,14.18,14.18,CREȘTERE,NU,14.2546,14.94,4.59,100.0,14.3129,14.84,3.55,100.0,14.6041,19.26,24.17,29.13,16.9778,18.54,8.43,100.0
BGT,9.44,5.2674,CREȘTERE,NU,9.4692,5.3902,75.67,0.0,9.4661,5.8812,60.95,0.0,9.596,5.8339,64.49,0.0,11.3634,7.6069,49.38,0.0
KAI,68.64,66.2553,CREȘTERE,NU,68.2363,67.1627,1.6,100.0,68.4375,71.9142,4.83,100.0,69.0162,80.4966,14.26,78.69,74.8833,182.1857,58.9,0.0
PIM,3.74,2.3068,SCĂDERE,DA,3.7476,2.3068,62.46,0.0,3.7663,2.4919,51.14,0.0,3.79,2.6402,43.55,0.0,4.0007,2.8561,40.08,0.0
PHM,20.8,19.5846,SCĂDERE,DA,20.8436,18.6336,11.86,90.7,20.8257,24.0288,13.33,83.35,21.2069,25.6483,17.32,63.42,24.1413,50.9708,52.64,0.0
HESM,9.33,5.6437,CREȘTERE,NU,9.3164,6.666,39.76,0.0,9.2938,7.0894,31.09,0.0,9.4632,9.737,2.81,100.0,11.0772,15.628,29.12,4.4
AMKR,7.37,6.855,CREȘTERE,NU,7.3526,6.9759,5.4,100.0,7.3974,8.5944,13.93,80.36,7.5748,9.0501,16.3,68.49,8.775,22.9419,61.75,0.0
FRAF,25.32,19.853,CREȘTERE,NU,25.3614,21.1702,19.8,51.01,25.4862,22.7306,12.12,89.38,25.5154,20.7742,22.82,35.89,28.1504,26.137,7.7,100.0
FDUS,5.86,2.9629,SCĂDERE,DA,5.8757,2.8213,108.26,0.0,5.8798,3.5696,64.72,0.0,5.9771,4.323,38.26,0.0,6.8658,8.8399,22.33,38.34
EAD,6.08,3.4493,CREȘTERE,NU,6.115,3.472,76.12,0.0,6.1354,3.6706,67.15,0.0,6.2367,3.8352,62.62,0.0,7.3122,5.2629,38.94,0.0
VKTX,4.35,4.35,CREȘTERE,NU,4.3399,4.49,3.34,100.0,4.3486,4.92,11.61,91.93,4.4379,5.45,18.57,57.15,5.1074,6.28,18.67,56.64
HCXY,22.85,15.7131,SCĂDERE,DA,22.9964,14.9085,54.25,0.0,23.115,16.6276,39.02,0.0,23.2487,17.5829,32.22,0.0,24.3789,19.5081,24.97,25.16
TER,52.14,50.8684,CREȘTERE,NU,52.1607,52.1269,0.06,100.0,52.7422,61.2489,13.89,80.56,53.1189,56.4391,5.88,100.0,54.8657,126.2238,56.53,0.0
LIFE,2.55,N/A,N/A,N/A,2.508,N/A,N/A,N/A,2.544,N/A,N/A,N/A,2.5796,N/A,N/A,N/A,2.7464,N/A,N/A,N/A
OCGN,0.283,0.283,SCĂDERE,DA,0.2845,0.28,1.61,100.0,0.2859,0.307,6.87,100.0,0.2912,0.336,13.33,83.33,0.3523,6.7,94.74,0.0
SITC,4.69,1.6992,SCĂDERE,DA,4.6985,1.5542,202.3,0.0,4.7027,2.2172,112.1,0.0,4.801,2.0723,131.67,0.0,5.7608,5.2218,10.32,98.39
DT,22.52,22.52,SCĂDERE,DA,22.731,21.38,6.32,100.0,22.8976,24.48,6.46,100.0,22.9307,27.16,15.57,72.14,21.886,49.55,55.83,0.0
TCRZ,20.0,19.0011,CREȘTERE,NU,20.0174,19.4761,2.78,100.0,20.0386,20.3502,1.53,100.0,20.1263,22.5638,10.8,95.99,21.4881,24.9968,14.04,79.82
LBRT,2.26,2.1319,CREȘTERE,NU,2.2444,2.33,3.67,100.0,2.2436,3.1507,28.79,6.05,2.32,4.0468,42.67,0.0,3.074,11.0368,72.15,0.0
HROW,3.63,3.63,SCĂDERE,DA,3.6362,3.62,0.45,100.0,3.6684,3.96,7.36,100.0,3.7799,4.29,11.89,90.55,4.8642,6.79,28.36,8.19
PSNL,7.75,7.75,CREȘTERE,NU,7.7266,8.01,3.54,100.0,7.7238,7.91,2.35,100.0,7.7303,9.94,22.23,38.85,8.2558,24.13,65.79,0.0
AMBA,46.98,46.98,SCĂDERE,DA,46.8246,46.61,0.46,100.0,47.1572,47.54,0.81,100.0,47.3695,49.0,3.33,100.0,49.4768,105.23,52.98,0.0
GRMN,71.41,62.6973,CREȘTERE,NU,71.3794,64.4972,10.67,96.65,71.8784,67.9214,5.83,100.0,72.7186,70.0725,3.78,100.0,84.7646,119.0185,28.78,6.1
SLF,30.39,24.1635,CREȘTERE,NU,30.5696,24.5372,24.58,27.08,30.5363,26.4216,15.57,72.13,31.1677,26.2785,18.61,56.97,36.6459,42.2226,13.21,83.96
APH,69.52,16.4442,SCĂDERE,DA,69.6517,16.2644,328.25,0.0,70.3457,18.8332,273.52,0.0,72.7661,20.2241,259.8,0.0,101.3089,32.0229,216.36,0.0
PK,7.35,5.0502,SCĂDERE,DA,7.3062,4.4662,63.59,0.0,7.3263,5.4831,33.62,0.0,7.494,5.9366,26.23,18.83,8.8363,14.9927,41.06,0.0
SOR,28.86,17.9363,CREȘTERE,NU,29.0971,18.1911,59.95,0.0,29.3132,19.5149,50.21,0.0,29.6919,19.5957,51.52,0.0,33.4056,28.434,17.48,62.58
RMT,5.12,3.148,CREȘTERE,NU,5.2274,3.2402,61.33,0.0,5.285,3.5784,47.69,0.0,5.3789,3.9534,36.06,0.0,6.6342,7.5537,12.17,89.14
BSTZ,15.95,8.7017,CREȘTERE,NU,15.9908,8.7836,82.05,0.0,16.0824,9.7219,65.42,0.0,16.3156,10.4068,56.78,0.0,18.9776,21.3145,10.96,95.18
LAZ,22.47,16.485,CREȘTERE,NU,22.4464,16.8078,33.55,0.0,22.4747,19.5443,14.99,75.03,22.918,18.5686,23.42,32.88,26.5949,34.8061,23.59,32.04
OSG,2.23,11.37,SCĂDERE,DA,2.1685,11.36,80.91,0.0,2.1387,14.75,85.5,0.0,2.0552,16.84,87.8,0.0,1.364,16.94,91.95,0.0
MHNC,17.5,9.1966,CREȘTERE,NU,19.3508,9.3963,105.94,0.0,20.6088,10.1425,103.19,0.0,20.4729,10.7416,90.59,0.0,23.1956,13.5984,70.58,0.0
FCBC,21.78,16.0418,SCĂDERE,DA,21.8881,16.0124,36.7,0.0,22.0086,16.8226,30.83,0.0,22.2492,16.8594,31.97,0.0,25.0417,22.9979,8.89,100.0
MGA,30.02,24.575,SCĂDERE,DA,30.0083,24.2312,23.84,30.79,29.9699,28.6354,4.66,100.0,30.3189,30.3136,0.02,100.0,34.4188,75.5018,54.41,0.0
CELC,5.52,5.52,SCĂDERE,DA,5.5361,5.35,3.48,100.0,5.5545,5.53,0.44,100.0,5.5945,5.53,1.17,100.0,6.3318,14.75,57.07,0.0
ERH,10.07,6.3057,SCĂDERE,DA,10.0452,6.2681,60.26,0.0,10.0657,7.0946,41.88,0.0,10.2605,7.3885,38.87,0.0,12.2531,8.739,40.21,0.0
MLR,26.57,23.5734,SCĂDERE,DA,26.7993,23.0854,16.09,69.56,26.982,24.3097,10.99,95.04,27.3199,25.9777,5.17,100.0,31.3177,42.4568,26.24,18.82
BBDC,7.42,4.0268,SCĂDERE,DA,7.4378,3.6904,101.55,0.0,7.4362,3.9292,89.26,0.0,7.5298,3.5927,109.59,0.0,8.5467,5.956,43.5,0.0
GTES,7.0,7.0,SCĂDERE,DA,6.9607,6.55,6.27,100.0,6.9713,7.79,10.51,97.45,7.0884,8.33,14.91,75.47,7.7498,16.35,52.6,0.0
GPRO,2.49,2.49,SCĂDERE,DA,2.4921,2.35,6.05,100.0,2.5121,2.73,7.98,100.0,2.611,3.3,20.88,45.61,3.4748,12.385,71.94,0.0
FNGU,34.01,N/A,N/A,N/A,33.5294,N/A,N/A,N/A,33.577,N/A,N/A,N/A,34.392,N/A,N/A,N/A,42.0227,N/A,N/A,N/A
METC,2.2,1.9093,CREȘTERE,NU,2.2048,2.1263,3.69,100.0,2.2094,2.4126,8.42,100.0,2.2194,1.9961,11.19,94.06,2.4212,3.8186,36.59,0.0
TIGO,27.44,23.1663,SCĂDERE,DA,27.4444,22.702,20.89,45.55,27.6659,24.3145,13.78,81.08,28.1743,21.2245,32.74,0.0,31.7078,32.5122,2.47,100.0
LAD,73.05,70.1222,SCĂDERE,DA,73.1171,67.4537,8.4,100.0,72.9564,74.749,2.4,100.0,74.3974,103.7963,28.32,8.38,85.8635,384.8801,77.69,0.0
HQY,43.92,43.92,SCĂDERE,DA,44.0795,43.89,0.43,100.0,44.3313,50.85,12.82,85.9,44.8793,51.37,12.64,86.82,49.486,68.11,27.34,13.28
HURC,27.3,24.9227,CREȘTERE,NU,27.2319,25.2423,7.88,100.0,27.3401,26.073,4.86,100.0,27.4907,28.0084,1.85,100.0,29.473,32.7652,10.05,99.76
PHGE,7.0,1330.0,SCĂDERE,DA,6.9505,1235.0,99.44,0.0,7.0836,1111.5,99.36,0.0,7.1582,1064.0,99.33,0.0,7.944,1377.5,99.42,0.0
CERS,4.5,4.5,CREȘTERE,NU,4.4848,4.53,1.0,100.0,4.4697,5.01,10.78,96.08,4.4504,5.62,20.81,45.94,4.3115,6.08,29.09,4.56
SSNC,41.37,38.4135,SCĂDERE,DA,41.4385,38.0328,8.95,100.0,41.7876,44.0961,5.24,100.0,42.6494,50.9116,16.23,68.86,53.0668,66.5135,20.22,48.92
RRR,7.82,6.2329,SCĂDERE,DA,7.8346,6.0974,28.49,7.54,7.9065,7.8827,0.3,100.0,8.0146,7.8588,1.98,100.0,9.0256,26.5733,66.04,0.0
EDIT,18.5,18.5,CREȘTERE,NU,18.2225,19.98,8.8,100.0,18.3119,20.61,11.15,94.25,18.7479,22.2,15.55,72.25,21.688,42.83,49.36,0.0
CLPR,4.78,3.1616,SCĂDERE,DA,4.7759,3.0095,58.7,0.0,4.8326,3.3402,44.68,0.0,4.8976,3.3799,44.91,0.0,5.4341,5.609,3.12,100.0
SJT,1.99,1.2492,SCĂDERE,DA,1.9926,1.2429,60.32,0.0,2.0062,1.2869,55.9,0.0,2.0054,1.5368,30.49,0.0,1.997,2.7425,27.18,14.08
BNKU,8.552,N/A,N/A,N/A,8.4792,N/A,N/A,N/A,8.4997,N/A,N/A,N/A,8.6816,N/A,N/A,N/A,10.1444,N/A,N/A,N/A
FCT,9.21,4.8907,CREȘTERE,NU,9.2125,5.0022,84.17,0.0,9.241,5.4483,69.61,0.0,9.2877,5.4385,70.78,0.0,10.1732,7.2601,40.13,0.0
FIYY,59.13,N/A,N/A,N/A,58.4812,N/A,N/A,N/A,59.4108,N/A,N/A,N/A,61.4866,N/A,N/A,N/A,69.3758,N/A,N/A,N/A
MREO,1.025,1.025,CREȘTERE,NU,1.0204,1.03,0.93,100.0,1.0381,1.13,8.13,100.0,1.0546,1.15,8.3,100.0,1.2114,3.38,64.16,0.0
CABO,1540.92,1425.2979,CREȘTERE,NU,1526.9483,1484.6067,2.85,100.0,1518.8642,1558.1135,2.52,100.0,1503.9882,1721.8416,12.65,86.74,1384.2486,1700.5422,18.6,57.0
MYFW,14.04,14.04,SCĂDERE,DA,13.9692,13.45,3.86,100.0,14.1807,13.95,1.65,100.0,14.2459,12.49,14.06,79.71,14.0678,26.97,47.84,0.0
HFWA,19.33,15.1303,CREȘTERE,NU,19.2655,15.6939,22.76,36.21,19.3567,15.2634,26.82,15.91,19.815,15.2164,30.22,0.0,23.021,23.2936,1.17,100.0
GRAF,10.18,N/A,N/A,N/A,10.2014,N/A,N/A,N/A,10.1954,N/A,N/A,N/A,10.1634,N/A,N/A,N/A,9.0199,N/A,N/A,N/A
WVFC,13.11,10.8581,SCĂDERE,DA,13.2048,10.8333,21.89,40.54,13.2459,11.8437,11.84,90.8,13.4392,11.1314,20.73,46.34,15.0857,13.4767,11.94,90.3
