Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
LOW,80.42,71.7306,CREȘTERE,NU,80.8623,73.907,9.41,100.0,80.7539,84.1555,4.04,100.0,81.9267,93.7149,12.58,87.11,97.282,173.4977,43.93,0.0
AKTX,1.37,1096.0,SCĂDERE,DA,1.3734,929.6,99.85,0.0,1.4449,1176.0,99.88,0.0,1.46,1512.0,99.9,0.0,1.6745,2280.0,99.93,0.0
HCSG,22.63,20.1442,SCĂDERE,DA,22.5268,19.8504,13.48,82.59,22.5037,19.9038,13.06,84.69,22.3972,22.8947,2.17,100.0,20.5214,26.3504,22.12,39.39
PNW,70.84,54.0707,CREȘTERE,NU,71.2582,54.7806,30.08,0.0,71.8256,60.1999,19.31,53.44,73.3319,57.1556,28.3,8.49,83.7328,65.0337,28.75,6.24
GGB,1.77,0.9422,CREȘTERE,NU,1.7537,0.9901,77.12,0.0,1.7522,1.1392,53.82,0.0,1.79,1.0966,63.24,0.0,2.1555,2.7661,22.07,39.63
IMO,11.01,9.3326,CREȘTERE,NU,11.0195,10.3836,6.12,100.0,11.0008,10.9431,0.53,100.0,11.1721,13.113,14.8,75.99,12.591,22.1851,43.25,0.0
AVT,24.65,21.1401,CREȘTERE,NU,24.685,21.7319,13.59,82.05,24.7218,24.0474,2.8,100.0,25.0551,25.5482,1.93,100.0,28.8321,37.0389,22.16,39.21
DXC,11.96,11.96,CREȘTERE,NU,11.9522,12.49,4.31,100.0,11.9275,15.8,24.51,27.45,12.2075,16.79,27.29,13.53,15.3665,30.83,50.16,0.0
CALM,41.45,32.0411,SCĂDERE,DA,41.2986,30.5183,35.32,0.0,41.3492,30.4178,35.94,0.0,41.2455,32.8141,25.69,21.53,41.5861,30.0158,38.55,0.0
MOD,3.05,3.05,CREȘTERE,NU,3.0589,3.16,3.2,100.0,3.0581,4.05,24.49,27.54,3.1297,4.23,26.01,19.94,3.8444,15.12,74.57,0.0
CTSO,7.51,7.51,CREȘTERE,NU,7.4834,7.65,2.18,100.0,7.5138,6.9,8.9,100.0,7.4479,8.6,13.4,83.02,6.8504,8.8,22.15,39.23
KRC,60.19,44.3972,SCĂDERE,DA,60.2227,43.9472,37.03,0.0,60.1686,46.6174,29.07,4.66,61.1132,44.3529,37.79,0.0,71.0024,51.3489,38.27,0.0
MGEE,62.02,54.4721,CREȘTERE,NU,62.3124,56.8962,9.52,100.0,65.6162,59.5574,10.17,99.14,68.4449,54.8849,24.71,26.47,84.4872,64.0318,31.95,0.0
MKTX,333.99,312.0565,CREȘTERE,NU,335.4981,324.4831,3.39,100.0,336.9484,369.6391,8.84,100.0,339.2843,420.2516,19.27,53.67,358.1391,488.3331,26.66,16.7
BCPC,93.09,90.1913,CREȘTERE,NU,92.6218,92.3615,0.28,100.0,93.6021,97.3899,3.89,100.0,93.3067,84.5234,10.39,98.04,85.4963,123.0659,30.53,0.0
MUFG,3.6,3.4305,SCĂDERE,DA,3.6157,3.4305,5.4,100.0,3.6281,3.5354,2.62,100.0,3.694,3.6974,0.09,100.0,4.162,5.2125,20.15,49.23
CDE,2.64,2.637,CREȘTERE,NU,2.6413,3.1265,15.52,72.41,2.6476,3.3862,21.81,40.94,2.6503,3.8956,31.97,0.0,2.7922,9.3695,70.2,0.0
